course_id,title,provider,category,description,outcomes,topic_tags,interest_tags,career_tags,workload,format,level,provider_url,rating_mean,rating_count,rating_scale,source_id,access_date
CRS001,Machine Learning Specialization,Coursera,programming_data_ai,Introduces practical machine learning with Python.,Supervised learning;neural networks;model evaluation,machine_learning;python,machine_learning;artificial_intelligence,data_science;ml_engineering,heavy,online,beginner,https://www.coursera.org/specializations/machine-learning-introduction,4.9,39316,5,SRC_COUR_001,2026-09-07
CRS002,Python for Data Science and Machine Learning Bootcamp,Udemy,programming_data_ai,Builds Python skills for data science and machine learning.,Python;pandas;machine learning,python;data_science;machine_learning,machine_learning;data_science,data_science;ml_engineering,heavy,online,intermediate,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,4.5,160555,5,SRC_COUR_002,2026-09-07
CRS003,Introduction to Telecommunication networks,Udemy,communications,Introduces the foundations of telecommunication networks.,Network fundamentals;telecom systems,telecommunications;networking,communications;networking,network_engineering,light,online,beginner,https://www.udemy.com/course/introduction-to-telecommunication-networks/,4.3,85,5,SRC_COUR_003,2026-09-07
CRS004,Complete Introduction to Telecom Networking and Structured Cabling,Udemy,communications,Teaches telecom networking and structured cabling fundamentals.,Structured cabling;telecom networking,telecommunications;networking,communications;networking,network_engineering,heavy,online,beginner,https://www.udemy.com/course/complete-introduction-to-telecom-networking-structured-cabling/,4.6,849,5,SRC_COUR_004,2026-09-07
CRS005,Control Systems: From Mathematical Modelling to PID Control,Udemy,electronics_control,Covers mathematical modelling and PID control for engineering systems.,Control theory;transfer functions;PID control,control_systems,control,control_engineering,heavy,online,intermediate,https://www.udemy.com/course/control-systems-pid/,4.2,914,5,SRC_COUR_005,2026-09-07
CRS006,Electrical Control & Protection Systems,Udemy,electronics_control,Explains electrical control and protection systems.,Protection systems;electrical control,electrical_engineering;control_systems,control,electrical_engineering,heavy,online,intermediate,https://www.udemy.com/course/electrical-control-protection-systems/,4.5,2770,5,SRC_COUR_006,2026-09-07
CRS007,Introduction to Computer Networking - Beginner Crash Course,Udemy,communications,Introduces IP Ethernet VPN WAN DHCP and DNS concepts.,Network fundamentals;TCP/IP;DNS,networking,networking,network_engineering,moderate,online,beginner,https://www.udemy.com/course/networkingbasics,4.6,15530,5,SRC_COUR_007,2026-09-07
CRS008,Learn Basics of Telecommunication Networks,Udemy,communications,Introduces telecom network architecture and services.,Network architecture;telecom services,telecommunications;networking,communications;networking,network_engineering,light,online,beginner,https://www.udemy.com/course/telecom-network-architecture/,4.3,1391,5,SRC_COUR_008,2026-09-07
CRS009,Computer Programming for Everyone,FutureLearn,programming_data_ai,Introduces programming concepts through block-language exercises.,Algorithms;programming concepts;software roles,programming;algorithms,software,software_development,light,online,beginner,https://www.futurelearn.com/courses/computer-programming-for-everyone,4.7,979,5,SRC_COUR_009,2026-09-07
CRS010,How to Get Into Web Development,FutureLearn,programming_data_ai,Introduces web-development roles and career pathways.,Web development;front-end;back-end,web_development;programming,software,software_development,light,online,beginner,https://www.futurelearn.com/courses/how-to-get-into-web-development,4.8,14,5,SRC_COUR_010,2026-09-07
CRS011,An Introduction to Programming Using Python,FutureLearn,programming_data_ai,Introduces Python programming fundamentals for new learners.,Python;algorithms;functions,python;programming,software,data_science;software_development,moderate,online,beginner,https://www.futurelearn.com/courses/start-coding-today-an-intro-to-python-programming-for-beginners,4.9,36,5,SRC_COUR_011,2026-09-07
CRS012,Software Development Basics,FutureLearn,programming_data_ai,Introduces web development testing and debugging.,HTML;CSS;testing,web_development;programming,software,software_development,moderate,online,beginner,https://www.futurelearn.com/courses/software-development-basics,4.5,13,5,SRC_COUR_012,2026-09-07
CRS013,Introduction to Cyber Security,FutureLearn,programming_data_ai,Introduces cyber-security concepts and online safety.,Cyber security;online safety,cybersecurity,cybersecurity,cybersecurity,heavy,online,beginner,https://www.futurelearn.com/courses/introduction-to-cyber-security,4.7,580,5,SRC_COUR_013,2026-09-07
CRS014,Get Ready for a Masters in Data Science and AI,FutureLearn,programming_data_ai,Introduces data science AI and Python study.,Python;data science;AI,data_science;artificial_intelligence;python,machine_learning;artificial_intelligence,data_science;ml_engineering,moderate,online,beginner,https://www.futurelearn.com/courses/data-science-artificial-intelligence,4.8,48,5,SRC_COUR_014,2026-09-07
CRS015,An Introduction to Electronic Engineering,FutureLearn,electronics_control,Explores electronic components sensors and systems.,Electronic systems;sensors;transducers,electronics;embedded_systems,embedded_systems,electronics_engineering,moderate,online,beginner,https://www.futurelearn.com/courses/an-introduction-to-electronic-engineering/2,4.7,34,5,SRC_COUR_015,2026-09-07
CRS016,Electrical Engineering: Sensing Powering and Controlling,FutureLearn,electronics_control,Introduces electrical circuits sensing and control.,Circuits;sensing;control,electrical_engineering;control_systems,control,electrical_engineering,moderate,online,beginner,https://www.futurelearn.com/courses/electrical-engineering,4.3,74,5,SRC_COUR_016,2026-09-07
CRS017,Introduction to Data Science for Business,FutureLearn,programming_data_ai,Builds foundational data-science and business insight skills.,Data analysis;business communication,data_science,data_science,data_science,heavy,online,beginner,https://www.futurelearn.com/courses/introduction-to-data-science-for-business,3.8,6,5,SRC_COUR_017,2026-09-07
CRS018,Essential Skills for Your Career Development,FutureLearn,career_skills,Builds career planning networking and job-search skills.,Career planning;networking;interviews,career_planning;professional_skills,career_development,career_development,light,online,beginner,https://www.futurelearn.com/courses/essential-skills-for-your-career-development,4.6,515,5,SRC_COUR_018,2026-09-07
CRS019,Digital Skills Reimagine Your Career,FutureLearn,career_skills,Explores digital work skills and career planning.,Digital skills;growth mindset;career planning,digital_skills;career_planning,career_development,career_development,moderate,online,beginner,https://www.futurelearn.com/courses/digital-skills-reimagine-your-career,4.9,128,5,SRC_COUR_019,2026-09-07
CRS020,Career Skills for the 2020s: Navigating the Online World of Work,FutureLearn,career_skills,Develops online work skills and professional planning.,Career planning;communication;resilience,career_planning;professional_skills,career_development,career_development,heavy,online,beginner,https://www.futurelearn.com/courses/career-skills,4.6,8,5,SRC_COUR_020,2026-09-07
