programme_code,programme_name,year_of_study,course_code,course_name,nqf_credits,nqf_level,requirement_type,selection_group,selection_count,source_id,handbook_page
EFA03,Electrical Engineering,1,CHEM1051A,Engineering Chemistry,12,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,FEBE1000A,Introduction to the Engineering Profession,12,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,FEBE1002A,Engineering Analysis and Design IA,12,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,FEBE1004A,Engineering Analysis and Design IB,12,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,MATH1048A,Engineering Mathematics IA,15,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,MATH1049A,Engineering Mathematics IB,15,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,PHYS1032A,Engineering Physics IA,18,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,PHYS1033A,Engineering Physics IB,18,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,PHYS1034A,Applied Physics I,12,5,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,1,AFRL1003A,Elementary IsiZulu Language and Culture IA,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,AFRL1005A,Elementary Sesotho Language and Culture IA,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,INTR1012A,The International Relations of South Africa and Africa,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,POLS1007A,Introduction to Political Studies,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,SOCL1013A,Southern Africa in the Era of Globalisation,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,SOCL1014A,Identity and Society,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,PHIL1002A,Introduction to Ethics I,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,PHIL1003A,Introduction to Philosophy: Knowledge and Reality,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,1,HIST1011A,Global Encounters and Contemporary Realities IA,18,5,elective_pool,year_1_humanities_elective,1,EBE_2026,46
EFA03,Electrical Engineering,2,COMS2004A,Data Structures and Algorithms,18,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2003A,Electric and Magnetic Systems,18,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2005A,Signals and Systems I,12,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2016A,Electronics I,16,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2017A,Electric Circuits,12,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2020A,Software Development I,16,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN2021A,Microprocessors,14,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,MATH2014A,Mathematics II,33,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,PHYS2007A,Physics II (Electrical),15,6,compulsory,,,EBE_2026,46
EFA03,Electrical Engineering,2,ELEN1998A,Vacation Work I (Electrical),0,N/A,required_non_credit,,,EBE_2026,46
EFA04,Information Engineering,1,CHEM1051A,Engineering Chemistry,12,5,compulsory,,,EBE_2026,46
EFA04,Information Engineering,1,FEBE1000A,Introduction to the Engineering Profession,12,5,compulsory,,,EBE_2026,46
EFA04,Information Engineering,1,FEBE1002A,Engineering Analysis and Design IA,12,5,compulsory,,,EBE_2026,46
EFA04,Information Engineering,1,FEBE1004A,Engineering Analysis and Design IB,12,5,compulsory,,,EBE_2026,46
