rule_id,scope,rule_type,target_course_code,condition_json,source_id,handbook_page,notes
DEF_COREQUISITE,ALL,definition,,"{""must_be_taken_with_target"":true,""required_for_target_credit"":true}",EBE_2026,8,Formal handbook definition.
DEF_PREREQUISITE,ALL,definition,,"{""credit_required_before_target_registration"":true}",EBE_2026,10,Formal handbook definition.
PROGRAMME_EFA03,EFA03,programme_definition,,"{""programme_name"":""Electrical Engineering"",""plan_code"":""EPAELC20"",""nqf_exit_level"":8,""total_nqf_credits"":592}",EBE_2026,46,Electrical Engineering branch.
PROGRAMME_EFA04,EFA04,programme_definition,,"{""programme_name"":""Information Engineering"",""plan_code"":""EPAINF20"",""nqf_exit_level"":8,""total_nqf_credits"":601}",EBE_2026,47,Information Engineering branch.
BRANCH_SELECTION,EFA03|EFA04,programme_selection,,"{""at_start_of_year"":3,""select_exactly"":1,""options"":[""EFA03"",""EFA04""]}",EBE_2026,47,Students elect a branch at the beginning of third year.
SELECT_EFA03_Y4,EFA03,selection_count,,"{""selection_group"":""year_4_electives"",""select_exactly"":3}",EBE_2026,47,Five compulsory courses plus three electives.
SELECT_EFA04_Y4,EFA04,selection_count,,"{""selection_group"":""year_4_electives"",""select_exactly"":3}",EBE_2026,48,Five compulsory courses plus three electives.
SELECT_Y1_HUMANITIES,EFA03|EFA04,selection_count,,"{""selection_group"":""year_1_humanities_elective"",""select_exactly"":1}",EBE_2026,46,One first-year humanities/language course is required.
PRE_ELEN2003,ALL_EFA03_EFA04,prerequisite,ELEN2003A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]},""PHYS1032A"",""PHYS1033A""]}",EBE_2026,80,
CORE_ELEN2003,ALL_EFA03_EFA04,corequisite,ELEN2003A,"{""all_of"":[""ELEN2017A""]}",EBE_2026,80,
PRE_ELEN2005,ALL_EFA03_EFA04,prerequisite,ELEN2005A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]},""PHYS1014A"",""PHYS1032A"",""PHYS1033A""]}",EBE_2026,80,PHYS1014A is in the prerequisite table but not an EFA03/EFA04 membership.
CORE_ELEN2005,ALL_EFA03_EFA04,corequisite,ELEN2005A,"{""all_of"":[""ELEN2017A"",""ELEN2020A""]}",EBE_2026,80,
PRE_ELEN2016,ALL_EFA03_EFA04,prerequisite,ELEN2016A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]},""PHYS1032A"",""PHYS1033A""]}",EBE_2026,81,
CORE_ELEN2016,ALL_EFA03_EFA04,corequisite,ELEN2016A,"{""all_of"":[""ELEN2017A""]}",EBE_2026,81,
PRE_ELEN2017,ALL_EFA03_EFA04,prerequisite,ELEN2017A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]},""PHYS1032A"",""PHYS1033A""]}",EBE_2026,81,
PRE_ELEN2020,ALL_EFA03_EFA04,prerequisite,ELEN2020A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]},""PHYS1032A"",""PHYS1033A""]}",EBE_2026,80,
CORE_ELEN2020,ALL_EFA03_EFA04,corequisite,ELEN2020A,"{""all_of"":[""ELEN2017A"",""COMS2004A""]}",EBE_2026,80,
PRE_ELEN2021,ALL_EFA03_EFA04,prerequisite,ELEN2021A,"{""all_of"":[{""any_of"":[""MATH1042A"",""MATH1048A""]},{""any_of"":[""MATH1043A"",""MATH1049A""]}]}",EBE_2026,80,
CORE_ELEN2021,ALL_EFA03_EFA04,corequisite,ELEN2021A,"{""any_of"":[{""all_of"":[""ELEN2020A"",""ELEN2016A""]},{""all_of"":[""COMS1015A"",""COMS1018A""]}]}",EBE_2026,81,
PRE_ELEN3000,EFA03,prerequisite,ELEN3000A,"{""all_of"":[""MATH2014A""]}",EBE_2026,81,
CORE_ELEN3000,EFA03,corequisite,ELEN3000A,"{""all_of"":[""MATH3025A""]}",EBE_2026,81,
