source_id,title,publisher,edition_year,document_type,local_path,url,access_date,authority_level,handbook_page_offset,notes,verification_status,authority,locator,review_date,verification_notes
EBE_2026,Senate Rules for the Faculty of Engineering and the Built Environment,University of the Witwatersrand,2026,faculty_handbook,data/raw/EBE_eBook.pdf,,,faculty_handbook,2,Printed handbook page equals PDF page minus 2.,verified,Wits Faculty Rules,PDF pages 46-92,2026-09-07,Local official handbook reviewed for curriculum memberships and rules.
SRC_COUR_001,Machine Learning Specialization course page,Coursera,2026,public_course_provider,,https://www.coursera.org/specializations/machine-learning-introduction,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Coursera,Machine Learning Specialization; rating section,2026-09-07,Title provider availability rating mean count and scale matched provider page.
SRC_COUR_002,Python for Data Science and Machine Learning Bootcamp course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Python for Data Science and Machine Learning Bootcamp; rating section,2026-09-07,Title provider availability rating mean and scale matched; rating count updated to 160555.
SRC_COUR_003,Introduction to Telecommunication networks course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/introduction-to-telecommunication-networks/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Introduction to Telecommunication networks; rating section,2026-09-07,Title provider availability rating mean and scale matched; rating count updated to 85.
SRC_COUR_004,Complete Introduction to Telecom Networking and Structured Cabling course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/complete-introduction-to-telecom-networking-structured-cabling/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Complete Introduction to Telecom Networking and Structured Cabling; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_005,Control Systems: From Mathematical Modelling to PID Control course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/control-systems-pid/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Control Systems: From Mathematical Modelling to PID Control; rating section,2026-09-07,Replacement course title provider availability rating mean count and scale matched.
SRC_COUR_006,Electrical Control and Protection Systems course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/electrical-control-protection-systems/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Electrical Control and Protection Systems; rating section,2026-09-07,Title availability rating mean and scale matched; rating count was updated from 2788 to 2770.
SRC_COUR_007,Introduction to Computer Networking - Beginner Crash Course course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/networkingbasics,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Introduction to Computer Networking - Beginner Crash Course; rating section,2026-09-07,Replacement course title provider availability rating mean count and scale matched.
SRC_COUR_008,Learn Basics of Telecommunication Networks course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/telecom-network-architecture/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,Learn Basics of Telecommunication Networks; rating section,2026-09-07,Title rating mean count and scale matched provider page after title correction.
SRC_COUR_009,Computer Programming for Everyone course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/computer-programming-for-everyone,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Computer Programming for Everyone; rating section,2026-09-07,Replacement course title provider availability rating mean count and scale matched.
SRC_COUR_010,How to Get Into Web Development course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/how-to-get-into-web-development,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,How to Get Into Web Development; rating section,2026-09-07,Replacement course title provider availability rating mean count and scale matched.
SRC_COUR_011,An Introduction to Programming Using Python course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/start-coding-today-an-intro-to-python-programming-for-beginners,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,An Introduction to Programming Using Python; rating section,2026-09-07,Replacement course title provider availability rating mean count and scale matched.
SRC_COUR_012,Software Development Basics course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/software-development-basics,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Software Development Basics; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_013,Introduction to Cyber Security course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/introduction-to-cyber-security,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Introduction to Cyber Security; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_014,Get Ready for a Masters in Data Science and AI course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/data-science-artificial-intelligence,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Get Ready for a Masters in Data Science and AI; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_015,An Introduction to Electronic Engineering course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/an-introduction-to-electronic-engineering/2,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,An Introduction to Electronic Engineering; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_016,Electrical Engineering: Sensing Powering and Controlling course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/electrical-engineering,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Electrical Engineering: Sensing Powering and Controlling; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_017,Introduction to Data Science for Business course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/introduction-to-data-science-for-business,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Introduction to Data Science for Business; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_018,Essential Skills for Your Career Development course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/essential-skills-for-your-career-development,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Essential Skills for Your Career Development; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_019,Digital Skills Reimagine Your Career course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/digital-skills-reimagine-your-career,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Digital Skills Reimagine Your Career; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_020,Career Skills for the 2020s: Navigating the Online World of Work course page,FutureLearn,2026,public_course_provider,,https://www.futurelearn.com/courses/career-skills,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,FutureLearn,Career Skills for the 2020s: Navigating the Online World of Work; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_021,The Ultimate Electric Circuits for Electrical Engineering course page,Udemy,2026,public_course_provider,,https://www.udemy.com/course/crash-course-electric-circuits-for-electrical-engineering/,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Udemy,The Ultimate Electric Circuits for Electrical Engineering; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_022,Linear Circuits 1: DC Analysis course page,Coursera,2026,public_course_provider,,https://www.coursera.org/learn/linear-circuits-dcanalysis,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Coursera,Linear Circuits 1: DC Analysis; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_023,Basic Electronics course page,Coursera,2026,public_course_provider,,https://www.coursera.org/learn/basic-electronics-odc,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Coursera,Basic Electronics; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
SRC_COUR_024,Linear Circuits 2: AC Analysis course page,Coursera,2026,public_course_provider,,https://www.coursera.org/learn/linear-circuits-ac-analysis,2026-09-07,provider_course_page,,Provider page records course details and ratings.,verified,Coursera,Linear Circuits 2: AC Analysis; rating section,2026-09-07,Title provider availability rating mean count and scale matched.
